Id	Description	Qty	Unit	Designators
1	Cable, 3 x 0.25 mm² shielded	1	m	W1
2	Connector, 3.5mm TRS Male, 3 pins	1		P1
3	Connector, HR10A-7P-6P(73), 6 pins	1		P2
